model_fct,model_u,model_v
2022-10-24 00:00:00,4.08268,-9.47905
2022-10-24 01:00:00,5.4376,-10.3662
2022-10-24 02:00:00,6.44184,-10.82307
2022-10-24 03:00:00,7.69314,-9.84953
2022-10-24 04:00:00,5.8106,-9.65183
2022-10-24 05:00:00,1.9435,-10.85796
2022-10-24 06:00:00,-2.55324,-12.3598
2022-10-24 07:00:00,-3.96555,-11.02742
2022-10-24 08:00:00,-2.06547,-11.44607
2022-10-24 09:00:00,-4.68924,-11.88965
2022-10-24 10:00:00,-4.76894,-11.86307
2022-10-24 11:00:00,-3.87628,-11.90958
2022-10-24 12:00:00,-5.04311,-11.22013
2022-10-24 13:00:00,-1.87419,-10.30141
2022-10-24 14:00:00,-2.27748,-10.18346
2022-10-24 15:00:00,-1.43583,-9.97081
2022-10-24 16:00:00,-2.5118,-11.21348
2022-10-24 17:00:00,-3.55748,-11.73182
2022-10-24 18:00:00,-4.17118,-11.7368
2022-10-24 19:00:00,-4.07235,-11.58396
2022-10-24 20:00:00,-3.9512,-10.97425
2022-10-24 21:00:00,-4.54099,-11.07061
2022-10-24 22:00:00,-4.27479,-10.61374
2022-10-24 23:00:00,-4.42144,-10.09873
2022-10-25 00:00:00,-3.83165,-9.52225
2022-10-25 01:00:00,-4.23016,-9.47407
2022-10-25 02:00:00,-3.90498,-8.46564
2022-10-25 03:00:00,-2.87364,-8.42411
2022-10-25 04:00:00,-2.02562,-8.33606
2022-10-25 05:00:00,-2.76844,-7.55689
2022-10-25 06:00:00,-2.44804,-6.45543
2022-10-25 07:00:00,-2.31573,-7.19306
2022-10-25 08:00:00,-2.90552,-5.86233
2022-10-25 09:00:00,-3.91135,-5.31575
2022-10-25 10:00:00,-4.73546,-4.89544
2022-10-25 11:00:00,-4.76097,-3.83052
2022-10-25 12:00:00,-5.30612,-4.56981
2022-10-25 13:00:00,-4.39753,-3.9302
2022-10-25 14:00:00,-3.46184,-3.26567
2022-10-25 15:00:00,-3.06174,-2.31539
2022-10-25 16:00:00,-2.58194,-1.36676
2022-10-25 17:00:00,-2.37631,-1.58606
2022-10-25 18:00:00,-2.31414,-1.86849
2022-10-25 19:00:00,-2.28067,-1.17073
2022-10-25 20:00:00,-2.28226,-0.35501
2022-10-25 21:00:00,-2.68874,0.48728
2022-10-25 22:00:00,-2.939,1.38939
2022-10-25 23:00:00,-2.81148,2.08881
2022-10-26 00:00:00,-2.44963,2.01571
2022-10-26 01:00:00,-1.88854,1.53226
2022-10-26 02:00:00,-1.6303,0.85444
2022-10-26 03:00:00,-0.99429,0.9076
2022-10-26 04:00:00,-0.49376,1.16012
2022-10-26 05:00:00,0.04342,1.28306
2022-10-26 06:00:00,0.69538,1.22824
2022-10-26 07:00:00,1.33139,1.81303
2022-10-26 08:00:00,0.78305,3.30324
2022-10-26 09:00:00,-0.64041,4.53927
2022-10-26 10:00:00,-1.01342,4.9031
2022-10-26 11:00:00,-0.73127,5.13735
2022-10-26 12:00:00,-0.29132,4.96457
2022-10-26 13:00:00,0.68581,4.7187
2022-10-26 14:00:00,2.01842,4.27014
2022-10-26 15:00:00,3.07207,3.8249
2022-10-26 16:00:00,3.5981,3.59564
2022-10-26 17:00:00,4.91954,2.75999
2022-10-26 18:00:00,5.36427,2.132
2022-10-26 19:00:00,5.19371,2.56727
2022-10-26 20:00:00,5.1714,2.65034
2022-10-26 21:00:00,4.84462,2.19513
2022-10-26 22:00:00,3.93125,1.13852
2022-10-26 23:00:00,2.54604,-0.57929
2022-10-27 00:00:00,1.45732,-2.79053
