model_fct,model_u,model_v
2022-06-16 00:00:00,3.15177,4.42796
2022-06-16 01:00:00,3.48651,3.95781
2022-06-16 02:00:00,2.04233,4.12726
2022-06-16 03:00:00,1.24213,3.72356
2022-06-16 04:00:00,-0.01078,2.39615
2022-06-16 05:00:00,-1.17601,2.14363
2022-06-16 06:00:00,-1.72435,1.62197
2022-06-16 07:00:00,-2.39544,1.61533
2022-06-16 08:00:00,-2.4576,2.49916
2022-06-16 09:00:00,-2.16908,3.03743
2022-06-16 10:00:00,-1.18079,3.9495
2022-06-16 11:00:00,-0.14149,3.75512
2022-06-16 12:00:00,0.7687,3.48599
2022-06-16 13:00:00,1.76178,2.84637
2022-06-16 14:00:00,3.0641,1.17009
2022-06-16 15:00:00,3.87546,0.64511
2022-06-16 16:00:00,4.11456,1.52728
2022-06-16 17:00:00,4.04123,1.98747
2022-06-16 18:00:00,3.93762,2.57724
2022-06-16 19:00:00,3.62201,5.04764
2022-06-16 20:00:00,3.58056,5.00445
2022-06-16 21:00:00,3.8898,4.38809
2022-06-16 22:00:00,3.77184,4.07742
2022-06-16 23:00:00,3.05772,4.39972
2022-06-17 00:00:00,2.82818,5.16227
2022-06-17 01:00:00,2.62574,5.09582
2022-06-17 02:00:00,2.27027,5.67562
2022-06-17 03:00:00,0.96317,5.87665
2022-06-17 04:00:00,-0.53521,6.57607
2022-06-17 05:00:00,-1.0437,8.42513
2022-06-17 06:00:00,-1.03892,9.29899
2022-06-17 07:00:00,-0.75518,9.60135
2022-06-17 08:00:00,-0.46507,9.48008
2022-06-17 09:00:00,-0.25785,9.15279
2022-06-17 10:00:00,0.09921,8.76238
2022-06-17 11:00:00,0.77827,8.41516
2022-06-17 12:00:00,2.24955,6.46642
2022-06-17 13:00:00,3.39565,6.79536
2022-06-17 14:00:00,3.58216,6.95817
2022-06-17 15:00:00,4.09384,5.97134
2022-06-17 16:00:00,3.65548,5.50783
2022-06-17 17:00:00,3.17727,6.0378
2022-06-17 18:00:00,4.03645,4.92636
2022-06-17 19:00:00,3.78619,4.58413
2022-06-17 20:00:00,3.7049,4.90975
2022-06-17 21:00:00,2.97643,4.16547
2022-06-17 22:00:00,2.72138,4.65224
2022-06-17 23:00:00,2.22564,4.78847
2022-06-18 00:00:00,1.78569,5.2254
2022-06-18 01:00:00,1.93712,5.48291
2022-06-18 02:00:00,1.5418,5.51946
2022-06-18 03:00:00,0.75276,5.08751
2022-06-18 04:00:00,-0.14308,5.43473
2022-06-18 05:00:00,-0.65157,6.09262
2022-06-18 06:00:00,-0.47782,6.30361
2022-06-18 07:00:00,0.30803,6.42322
2022-06-18 08:00:00,0.22514,6.1624
2022-06-18 09:00:00,0.23311,6.3468
2022-06-18 10:00:00,-0.2706,6.99638
2022-06-18 11:00:00,0.18848,6.92162
2022-06-18 12:00:00,1.1688,5.57927
2022-06-18 13:00:00,2.99874,5.33505
2022-06-18 14:00:00,4.05717,3.56739
2022-06-18 15:00:00,4.57045,2.08548
2022-06-18 16:00:00,4.54813,2.4759
2022-06-18 17:00:00,5.28617,3.53084
2022-06-18 18:00:00,6.09434,3.04075
2022-06-18 19:00:00,5.97638,2.4327
2022-06-18 20:00:00,5.51571,1.97251
2022-06-18 21:00:00,5.9174,3.71691
2022-06-18 22:00:00,4.62146,1.89609
2022-06-18 23:00:00,4.17354,1.00063
2022-06-19 00:00:00,3.91371,1.16344
