model_fct,model_u,model_v
2023-05-29 00:00:00,-3.00479,-4.30455
2023-05-29 01:00:00,-2.88545,-4.0522
2023-05-29 02:00:00,-2.57492,-3.55696
2023-05-29 03:00:00,-3.16353,-2.64205
2023-05-29 04:00:00,-2.06047,-2.53409
2023-05-29 05:00:00,-0.71408,-2.89034
2023-05-29 06:00:00,0.38551,-4.21279
2023-05-29 07:00:00,0.33221,-4.84297
2023-05-29 08:00:00,0.21287,-3.68786
2023-05-29 09:00:00,0.03327,-3.76613
2023-05-29 10:00:00,-0.67237,-4.28161
2023-05-29 11:00:00,-1.56687,-3.04688
2023-05-29 12:00:00,-1.8577,-1.8054
2023-05-29 13:00:00,-1.86813,-1.36684
2023-05-29 14:00:00,-1.06169,0.01768
2023-05-29 15:00:00,-0.4696,-0.13885
2023-05-29 16:00:00,-0.86007,-0.4951
2023-05-29 17:00:00,-1.09876,-0.59901
2023-05-29 18:00:00,-1.39075,0.13373
2023-05-29 19:00:00,-1.19609,-0.07273
2023-05-29 20:00:00,-1.44405,-1.48694
2023-05-29 21:00:00,-2.08712,-5.05078
2023-05-29 22:00:00,-2.4857,-5.62294
2023-05-29 23:00:00,-3.16701,-4.96847
2023-05-30 00:00:00,-3.23537,-3.76208
2023-05-30 01:00:00,-2.88545,-3.18452
2023-05-30 02:00:00,-2.11029,-3.34915
2023-05-30 03:00:00,-1.72445,-4.31804
2023-05-30 04:00:00,-1.61322,-4.68374
2023-05-30 05:00:00,-1.59004,-5.50689
2023-05-30 06:00:00,-2.39533,-5.51229
2023-05-30 07:00:00,-3.00595,-5.07777
2023-05-30 08:00:00,-2.99668,-5.57976
2023-05-30 09:00:00,-2.99089,-6.03992
2023-05-30 10:00:00,-3.16585,-5.28693
2023-05-30 11:00:00,-3.68031,-4.01037
2023-05-30 12:00:00,-3.28172,-2.44368
2023-05-30 13:00:00,-2.89124,-0.7407
2023-05-30 14:00:00,-1.99442,-1.25348
2023-05-30 15:00:00,-1.82989,-1.39922
2023-05-30 16:00:00,-1.23201,-1.36279
2023-05-30 17:00:00,-1.05589,-1.53147
2023-05-30 18:00:00,-1.02461,-2.26016
2023-05-30 19:00:00,-1.83916,-2.50846
2023-05-30 20:00:00,-3.072,-2.48147
2023-05-30 21:00:00,-3.28635,-2.35597
2023-05-30 22:00:00,-3.22031,-2.11442
2023-05-30 23:00:00,-3.88423,-1.38843
2023-05-31 00:00:00,-2.99784,-0.2765
2023-05-31 01:00:00,-2.38953,0.19985
2023-05-31 02:00:00,-2.25744,0.64247
2023-05-31 03:00:00,-2.51467,1.0311
2023-05-31 04:00:00,-2.7325,1.04055
2023-05-31 05:00:00,-2.64329,1.47776
2023-05-31 06:00:00,-2.89356,2.38053
2023-05-31 07:00:00,-2.62706,2.80291
2023-05-31 08:00:00,-2.18097,3.12272
2023-05-31 09:00:00,-2.19951,2.90141
2023-05-31 10:00:00,-1.75921,3.02016
2023-05-31 11:00:00,-1.7314,3.17805
2023-05-31 12:00:00,-1.81019,3.25227
2023-05-31 13:00:00,-1.50314,3.91889
2023-05-31 14:00:00,-0.88904,4.55986
2023-05-31 15:00:00,-1.01534,5.17251
2023-05-31 16:00:00,-0.64688,5.50852
2023-05-31 17:00:00,0.2569,5.22379
2023-05-31 18:00:00,0.67634,5.12798
2023-05-31 19:00:00,0.69256,5.47748
2023-05-31 20:00:00,0.19433,6.1306
2023-05-31 21:00:00,0.1306,6.30333
2023-05-31 22:00:00,0.72848,6.92002
2023-05-31 23:00:00,0.87563,6.77293
2023-06-01 00:00:00,0.3716,6.97265
