model_fct,model_u,model_v
2023-01-31 00:00:00,2.34947,3.53835
2023-01-31 01:00:00,2.93577,4.05113
2023-01-31 02:00:00,3.38186,4.63004
2023-01-31 03:00:00,3.35985,4.9539
2023-01-31 04:00:00,3.60317,6.0213
2023-01-31 05:00:00,5.52079,6.81881
2023-01-31 06:00:00,5.24154,7.50567
2023-01-31 07:00:00,3.72831,7.9186
2023-01-31 08:00:00,6.59604,6.3681
2023-01-31 09:00:00,7.36077,5.57329
2023-01-31 10:00:00,6.54506,6.53003
2023-01-31 11:00:00,6.66672,7.57449
2023-01-31 12:00:00,6.54506,7.18181
2023-01-31 13:00:00,8.14752,6.53003
2023-01-31 14:00:00,10.27138,6.98749
2023-01-31 15:00:00,10.23315,7.73373
2023-01-31 16:00:00,8.34797,7.83089
2023-01-31 17:00:00,6.18819,7.82144
2023-01-31 18:00:00,3.98553,7.76746
2023-01-31 19:00:00,3.98669,7.90106
2023-01-31 20:00:00,5.02603,7.6784
2023-01-31 21:00:00,7.00969,5.09154
2023-01-31 22:00:00,7.78833,1.87045
2023-01-31 23:00:00,7.27735,0.14723
2023-02-01 00:00:00,5.84638,0.21335
2023-02-01 01:00:00,5.64592,0.97982
2023-02-01 02:00:00,5.88345,0.74232
2023-02-01 03:00:00,4.85339,-0.51535
2023-02-01 04:00:00,4.48261,-0.77039
2023-02-01 05:00:00,4.62397,-3.29922
2023-02-01 06:00:00,7.30747,-5.12095
2023-02-01 07:00:00,7.05836,-6.27877
2023-02-01 08:00:00,6.71886,-7.67813
2023-02-01 09:00:00,5.70386,-8.35824
2023-02-01 10:00:00,5.26008,-8.48913
2023-02-01 11:00:00,5.02719,-8.83729
2023-02-01 12:00:00,4.59616,-8.76037
2023-02-01 13:00:00,4.39918,-8.23004
2023-02-01 14:00:00,4.66104,-7.89538
2023-02-01 15:00:00,5.15233,-7.92507
2023-02-01 16:00:00,5.3018,-8.35554
2023-02-01 17:00:00,5.30295,-8.17741
2023-02-01 18:00:00,4.78734,-8.33395
2023-02-01 19:00:00,3.83954,-8.66186
2023-02-01 20:00:00,3.42473,-7.99659
2023-02-01 21:00:00,2.93924,-7.16534
2023-02-01 22:00:00,3.01572,-6.1924
2023-02-01 23:00:00,3.20226,-5.61754
2023-02-02 00:00:00,3.07597,-5.71605
2023-02-02 01:00:00,2.93924,-5.6081
2023-02-02 02:00:00,2.65884,-4.86456
2023-02-02 03:00:00,2.62872,-4.02522
2023-02-02 04:00:00,2.33209,-3.76073
2023-02-02 05:00:00,1.7458,-4.08999
2023-02-02 06:00:00,0.92777,-4.00228
2023-02-02 07:00:00,0.58248,-3.52053
2023-02-02 08:00:00,0.61377,-2.97536
2023-02-02 09:00:00,0.26964,-2.16705
2023-02-02 10:00:00,0.28239,-1.66911
2023-02-02 11:00:00,1.10737,-1.04837
2023-02-02 12:00:00,1.62182,-0.6314
2023-02-02 13:00:00,1.2522,0.25383
2023-02-02 14:00:00,0.89533,0.98387
2023-02-02 15:00:00,0.36929,1.72606
2023-02-02 16:00:00,0.05644,2.00944
2023-02-02 17:00:00,0.01357,1.9919
2023-02-02 18:00:00,0.2569,1.99595
2023-02-02 19:00:00,0.61377,1.93927
2023-02-02 20:00:00,0.88142,2.40482
2023-02-02 21:00:00,1.41674,2.8083
2023-02-02 22:00:00,1.48626,3.20774
2023-02-02 23:00:00,1.94394,3.90404
2023-02-03 00:00:00,2.19537,4.41278
