model_fct,model_u,model_v
2022-07-29 00:00:00,-1.37367,-1.42657
2022-07-29 01:00:00,-2.02881,-1.50964
2022-07-29 02:00:00,-2.91828,-0.62913
2022-07-29 03:00:00,-2.9645,0.05866
2022-07-29 04:00:00,-2.50224,-0.40984
2022-07-29 05:00:00,-2.23763,-0.566
2022-07-29 06:00:00,-1.67016,-0.90491
2022-07-29 07:00:00,-1.50916,-0.87335
2022-07-29 08:00:00,-1.26687,-1.61596
2022-07-29 09:00:00,-1.10587,-2.03296
2022-07-29 10:00:00,-1.41511,-2.16254
2022-07-29 11:00:00,-1.3912,-2.72075
2022-07-29 12:00:00,-1.35294,-2.75066
2022-07-29 13:00:00,-1.44699,-2.35027
2022-07-29 14:00:00,-1.55379,-2.10606
2022-07-29 15:00:00,-1.52988,-2.56957
2022-07-29 16:00:00,-1.59045,-2.54299
2022-07-29 17:00:00,-1.12978,-3.21251
2022-07-29 18:00:00,-1.13456,-3.28062
2022-07-29 19:00:00,-1.77695,-3.53813
2022-07-29 20:00:00,-2.25197,-3.82055
2022-07-29 21:00:00,-2.40978,-2.92343
2022-07-29 22:00:00,-1.94114,-2.28548
2022-07-29 23:00:00,-1.15688,-2.19245
2022-07-30 00:00:00,-0.47464,-2.58784
2022-07-30 01:00:00,-0.04903,-2.31372
2022-07-30 02:00:00,0.01792,-2.93839
2022-07-30 03:00:00,-0.46029,-3.32382
2022-07-30 04:00:00,-1.30831,-2.9849
2022-07-30 05:00:00,-1.86781,-1.5545
2022-07-30 06:00:00,-2.21212,-0.46466
2022-07-30 07:00:00,-2.13561,-0.47131
2022-07-30 08:00:00,-2.25994,-1.086
2022-07-30 09:00:00,-2.35877,-0.0892
2022-07-30 10:00:00,-2.37471,0.7614
2022-07-30 11:00:00,-2.70468,1.19833
2022-07-30 12:00:00,-2.50383,0.54377
2022-07-30 13:00:00,-2.20415,1.04217
2022-07-30 14:00:00,-2.14358,1.18006
2022-07-30 15:00:00,-2.13561,1.84625
2022-07-30 16:00:00,-1.36888,2.49916
2022-07-30 17:00:00,-0.82851,2.86797
2022-07-30 18:00:00,-0.53202,3.2318
2022-07-30 19:00:00,-0.61969,4.09071
2022-07-30 20:00:00,-1.68928,4.88649
2022-07-30 21:00:00,-2.02403,4.76023
2022-07-30 22:00:00,-1.79608,4.59908
2022-07-30 23:00:00,-1.81043,4.52432
2022-07-31 00:00:00,-1.48206,4.73033
2022-07-31 01:00:00,-1.99852,4.39972
2022-07-31 02:00:00,-2.62179,3.49928
2022-07-31 03:00:00,-3.1797,3.03743
2022-07-31 04:00:00,-2.95813,3.65046
2022-07-31 05:00:00,-2.43529,4.21697
2022-07-31 06:00:00,-2.15314,4.61071
2022-07-31 07:00:00,-2.28704,4.42962
2022-07-31 08:00:00,-1.56495,4.0957
2022-07-31 09:00:00,-1.97302,3.34477
2022-07-31 10:00:00,-2.5644,2.88625
2022-07-31 11:00:00,-3.33113,2.49085
2022-07-31 12:00:00,-3.70094,3.26337
2022-07-31 13:00:00,-3.13825,3.60893
2022-07-31 14:00:00,-2.87045,3.47934
2022-07-31 15:00:00,-2.83539,4.42298
2022-07-31 16:00:00,-2.30776,6.42488
2022-07-31 17:00:00,-1.32903,6.82527
2022-07-31 18:00:00,-1.125,7.08111
2022-07-31 19:00:00,-1.71479,8.01644
2022-07-31 20:00:00,-2.1914,8.47995
2022-07-31 21:00:00,-3.02029,9.10462
2022-07-31 22:00:00,-3.18448,9.65286
2022-07-31 23:00:00,-2.93422,9.92531
2022-08-01 00:00:00,-2.97407,10.31905
