model_fct,model_u,model_v
2023-04-04 00:00:00,-1.09645,3.48032
2023-04-04 01:00:00,-1.9307,4.26029
2023-04-04 02:00:00,-2.48802,4.74744
2023-04-04 03:00:00,-1.94576,5.10234
2023-04-04 04:00:00,-3.00479,4.33451
2023-04-04 05:00:00,-2.63633,4.64353
2023-04-04 06:00:00,-3.31416,4.57201
2023-04-04 07:00:00,-3.94796,4.63408
2023-04-04 08:00:00,-3.71043,5.13472
2023-04-04 09:00:00,-3.33965,5.56654
2023-04-04 10:00:00,-2.25629,6.01725
2023-04-04 11:00:00,-2.1381,5.81619
2023-04-04 12:00:00,-1.1903,5.35063
2023-04-04 13:00:00,0.18853,5.37087
2023-04-04 14:00:00,0.13292,3.70433
2023-04-04 15:00:00,-1.76385,6.39104
2023-04-04 16:00:00,-1.9782,6.1495
2023-04-04 17:00:00,-3.29794,5.1995
2023-04-04 18:00:00,-5.98608,5.41001
2023-04-04 19:00:00,-4.43113,8.1426
2023-04-04 20:00:00,-3.04651,8.8713
2023-04-04 21:00:00,-3.13573,9.50958
2023-04-04 22:00:00,-3.1253,10.35432
2023-04-04 23:00:00,-3.14847,11.44466
2023-04-05 00:00:00,-3.36862,11.7024
2023-04-05 01:00:00,-3.59688,12.46888
2023-04-05 02:00:00,-3.71738,13.5943
2023-04-05 03:00:00,-3.42771,14.42151
2023-04-05 04:00:00,-2.61779,14.96803
2023-04-05 05:00:00,-2.19719,15.23387
2023-04-05 06:00:00,-2.00601,15.55368
2023-04-05 07:00:00,-0.78708,15.82626
2023-04-05 08:00:00,-0.39776,15.88834
2023-04-05 09:00:00,-0.27146,15.62925
2023-04-05 10:00:00,0.56626,15.46867
2023-04-05 11:00:00,1.08188,15.27705
2023-04-05 12:00:00,1.17573,15.10297
2023-04-05 13:00:00,2.12932,15.0355
2023-04-05 14:00:00,3.08987,14.50652
2023-04-05 15:00:00,2.7805,13.67257
2023-04-05 16:00:00,3.35985,11.90077
2023-04-05 17:00:00,3.01108,9.82804
2023-04-05 18:00:00,5.53585,7.03337
2023-04-05 19:00:00,6.56939,2.3495
2023-04-05 20:00:00,6.5636,3.54239
2023-04-05 21:00:00,8.21936,3.2968
2023-04-05 22:00:00,8.16142,3.82443
2023-04-05 23:00:00,7.78485,3.85681
2023-04-06 00:00:00,6.18819,4.97684
2023-04-06 01:00:00,5.6494,7.54346
2023-04-06 02:00:00,5.80698,9.20731
2023-04-06 03:00:00,6.77448,8.36121
2023-04-06 04:00:00,6.4095,6.05773
2023-04-06 05:00:00,6.9112,6.23991
2023-04-06 06:00:00,7.39901,5.70013
2023-04-06 07:00:00,7.27156,5.32904
2023-04-06 08:00:00,7.58672,4.71235
2023-04-06 09:00:00,7.24838,4.1213
2023-04-06 10:00:00,8.04556,3.95397
2023-04-06 11:00:00,7.84626,3.79204
2023-04-06 12:00:00,7.20551,3.31974
2023-04-06 13:00:00,6.26466,2.26718
2023-04-06 14:00:00,5.61927,1.93117
2023-04-06 15:00:00,6.99811,2.06747
2023-04-06 16:00:00,7.11977,2.21455
2023-04-06 17:00:00,7.0711,1.47776
2023-04-06 18:00:00,5.66794,1.69097
2023-04-06 19:00:00,5.64592,2.58835
2023-04-06 20:00:00,6.13373,1.6208
2023-04-06 21:00:00,5.98194,1.23622
2023-04-06 22:00:00,7.05952,1.41434
2023-04-06 23:00:00,7.10123,1.31583
2023-04-07 00:00:00,6.10129,1.05269
