model_fct,model_u,model_v
2022-07-18 00:00:00,2.25593,7.23229
2022-07-18 01:00:00,1.757,9.10129
2022-07-18 02:00:00,3.08641,8.22743
2022-07-18 03:00:00,0.45627,9.18104
2022-07-18 04:00:00,1.34574,9.09465
2022-07-18 05:00:00,-1.34497,9.12289
2022-07-18 06:00:00,-1.65581,7.85695
2022-07-18 07:00:00,-1.68928,4.70042
2022-07-18 08:00:00,-2.20415,0.71821
2022-07-18 09:00:00,-1.33382,0.02709
2022-07-18 10:00:00,0.78464,-1.97481
2022-07-18 11:00:00,-0.32799,-2.60114
2022-07-18 12:00:00,-0.40609,-1.17903
2022-07-18 13:00:00,4.28671,-0.1922
2022-07-18 14:00:00,5.62888,-3.24407
2022-07-18 15:00:00,3.44666,-5.3224
2022-07-18 16:00:00,1.76816,-5.81083
2022-07-18 17:00:00,1.21503,-5.12138
2022-07-18 18:00:00,0.85637,-5.58987
2022-07-18 19:00:00,1.12417,-5.60482
2022-07-18 20:00:00,0.87231,-5.92048
2022-07-18 21:00:00,1.1704,-6.1946
2022-07-18 22:00:00,1.59122,-6.97875
2022-07-18 23:00:00,1.20387,-6.97709
2022-07-19 00:00:00,1.08591,-6.25773
2022-07-19 01:00:00,0.93129,-5.7477
2022-07-19 02:00:00,1.15605,-5.97696
2022-07-19 03:00:00,0.08168,-5.56661
2022-07-19 04:00:00,-1.18876,-4.36215
2022-07-19 05:00:00,-1.5235,-4.00995
2022-07-19 06:00:00,-1.53307,-3.92854
2022-07-19 07:00:00,-1.86622,-2.94503
2022-07-19 08:00:00,-1.85984,-1.46478
2022-07-19 09:00:00,-1.82956,-0.07757
2022-07-19 10:00:00,-1.0453,0.20818
2022-07-19 11:00:00,0.35585,1.42926
2022-07-19 12:00:00,0.76392,2.20842
2022-07-19 13:00:00,0.86913,4.36649
2022-07-19 14:00:00,1.65976,4.95461
2022-07-19 15:00:00,2.4775,4.92636
2022-07-19 16:00:00,2.75326,5.33837
2022-07-19 17:00:00,2.71979,5.29518
2022-07-19 18:00:00,3.08801,4.27512
2022-07-19 19:00:00,3.6507,2.42606
2022-07-19 20:00:00,3.19481,1.27808
2022-07-19 21:00:00,2.89194,0.8129
2022-07-19 22:00:00,2.47112,-0.29687
2022-07-19 23:00:00,1.67411,-0.06096
2022-07-20 00:00:00,1.38559,-0.02275
2022-07-20 01:00:00,0.37498,-0.60421
2022-07-20 02:00:00,-0.48739,-1.04447
2022-07-20 03:00:00,-0.38378,-1.606
2022-07-20 04:00:00,-0.02193,-1.65085
2022-07-20 05:00:00,-1.05964,-1.78542
2022-07-20 06:00:00,-1.59045,-1.10095
2022-07-20 07:00:00,-1.76739,0.15169
2022-07-20 08:00:00,-1.69407,1.18836
2022-07-20 09:00:00,-1.13934,1.98414
2022-07-20 10:00:00,0.0769,3.69698
2022-07-20 11:00:00,0.90101,3.39129
2022-07-20 12:00:00,-0.24191,2.79321
2022-07-20 13:00:00,-0.22278,2.72344
2022-07-20 14:00:00,-0.20843,2.56229
2022-07-20 15:00:00,-1.38164,2.65698
2022-07-20 16:00:00,-1.54582,2.23999
2022-07-20 17:00:00,-1.8455,2.1104
2022-07-20 18:00:00,-2.50861,1.62862
2022-07-20 19:00:00,-3.67065,1.99411
2022-07-20 20:00:00,-5.81143,2.44599
2022-07-20 21:00:00,-6.0059,2.71347
2022-07-20 22:00:00,-7.12012,5.06592
2022-07-20 23:00:00,-4.55534,7.83203
2022-07-21 00:00:00,-0.47782,6.11256
