model_fct,model_u,model_v
2023-05-09 00:00:00,3.07017,4.37229
2023-05-09 01:00:00,2.40973,4.31697
2023-05-09 02:00:00,2.17104,4.4789
2023-05-09 03:00:00,1.95436,4.86619
2023-05-09 04:00:00,1.79447,5.40461
2023-05-09 05:00:00,1.62877,6.13195
2023-05-09 06:00:00,1.33099,6.74459
2023-05-09 07:00:00,0.72616,7.24253
2023-05-09 08:00:00,0.51296,7.17101
2023-05-09 09:00:00,1.38429,7.22094
2023-05-09 10:00:00,2.24288,7.85383
2023-05-09 11:00:00,3.58463,5.98756
2023-05-09 12:00:00,5.83595,2.03643
2023-05-09 13:00:00,5.43389,0.58714
2023-05-09 14:00:00,4.99359,-1.33985
2023-05-09 15:00:00,3.52322,-2.57053
2023-05-09 16:00:00,2.26605,-3.33161
2023-05-09 17:00:00,2.76428,-4.98196
2023-05-09 18:00:00,2.91955,-6.05746
2023-05-09 19:00:00,2.56847,-8.32315
2023-05-09 20:00:00,3.16171,-8.19091
2023-05-09 21:00:00,3.52322,-8.26108
2023-05-09 22:00:00,3.55566,-7.94261
2023-05-09 23:00:00,2.92882,-8.06541
2023-05-10 00:00:00,1.60444,-8.27862
2023-05-10 01:00:00,0.58828,-7.26925
2023-05-10 02:00:00,0.32989,-6.70114
2023-05-10 03:00:00,-0.42209,-6.5446
2023-05-10 04:00:00,-0.78592,-5.91172
2023-05-10 05:00:00,-0.8033,-5.23296
2023-05-10 06:00:00,-1.23317,-4.57983
2023-05-10 07:00:00,-1.99674,-3.81875
2023-05-10 08:00:00,-2.97119,-1.90661
2023-05-10 09:00:00,-3.50534,1.01491
2023-05-10 10:00:00,-3.87381,2.87712
2023-05-10 11:00:00,-3.52388,0.78551
2023-05-10 12:00:00,-3.95144,1.19978
2023-05-10 13:00:00,-3.77184,2.2267
2023-05-10 14:00:00,-2.3455,2.44801
2023-05-10 15:00:00,-1.40234,1.81782
2023-05-10 16:00:00,-2.10913,1.82592
2023-05-10 17:00:00,-1.85191,1.79623
2023-05-10 18:00:00,-2.3513,2.04453
2023-05-10 19:00:00,-3.02913,2.35624
2023-05-10 20:00:00,-3.02217,2.73408
2023-05-10 21:00:00,-3.17396,2.9392
2023-05-10 22:00:00,-3.19945,2.91491
2023-05-10 23:00:00,-3.10096,2.72059
2023-05-11 00:00:00,-3.06505,2.87038
2023-05-11 01:00:00,-3.12298,3.1767
2023-05-11 02:00:00,-3.3327,3.54644
2023-05-11 03:00:00,-3.58761,3.87705
2023-05-11 04:00:00,-3.89582,4.20362
2023-05-11 05:00:00,-4.11134,4.6044
2023-05-11 06:00:00,-4.59682,5.08479
2023-05-11 07:00:00,-5.16458,5.45049
2023-05-11 08:00:00,-5.67208,6.41668
2023-05-11 09:00:00,-5.15994,5.79055
2023-05-11 10:00:00,-4.51572,5.10504
2023-05-11 11:00:00,-4.31758,5.25077
2023-05-11 12:00:00,-3.58761,5.21434
2023-05-11 13:00:00,-2.76726,5.10908
2023-05-11 14:00:00,-2.22153,5.10773
2023-05-11 15:00:00,-0.59821,5.13877
2023-05-11 16:00:00,-0.79866,5.35333
2023-05-11 17:00:00,-0.55534,5.67854
2023-05-11 18:00:00,-1.19377,5.46668
2023-05-11 19:00:00,-1.53906,5.64211
2023-05-11 20:00:00,-1.2239,5.68934
2023-05-11 21:00:00,-1.54138,5.92009
2023-05-11 22:00:00,-2.01528,6.15894
2023-05-11 23:00:00,-1.47302,6.36001
2023-05-12 00:00:00,-0.8566,6.09147
