model_fct,model_u,model_v
2022-06-24 00:00:00,8.99227,8.4135
2022-06-24 01:00:00,6.51516,8.74078
2022-06-24 02:00:00,5.76438,10.19113
2022-06-24 03:00:00,4.86853,8.57133
2022-06-24 04:00:00,4.52741,8.77567
2022-06-24 05:00:00,6.49444,6.61428
2022-06-24 06:00:00,6.41314,5.52444
2022-06-24 07:00:00,7.03322,4.99946
2022-06-24 08:00:00,6.36054,4.5941
2022-06-24 09:00:00,5.66873,6.34348
2022-06-24 10:00:00,4.89404,5.78693
2022-06-24 11:00:00,5.64801,5.5261
2022-06-24 12:00:00,7.14161,4.87486
2022-06-24 13:00:00,8.74839,5.00943
2022-06-24 14:00:00,7.38231,7.10935
2022-06-24 15:00:00,6.52154,6.32687
2022-06-24 16:00:00,6.88976,5.86834
2022-06-24 17:00:00,6.73832,5.21876
2022-06-24 18:00:00,5.61932,4.68879
2022-06-24 19:00:00,5.31805,6.5362
2022-06-24 20:00:00,5.90943,8.1942
2022-06-24 21:00:00,6.68413,7.636
2022-06-24 22:00:00,7.30739,7.70411
2022-06-24 23:00:00,7.40622,6.82859
2022-06-25 00:00:00,6.51994,6.56278
2022-06-25 01:00:00,4.16876,8.71254
2022-06-25 02:00:00,3.48492,8.46168
2022-06-25 03:00:00,2.73732,8.80391
2022-06-25 04:00:00,1.61832,8.86206
2022-06-25 05:00:00,2.02001,9.02819
2022-06-25 06:00:00,2.02639,8.24571
2022-06-25 07:00:00,1.52268,9.12787
2022-06-25 08:00:00,0.12472,9.34551
2022-06-25 09:00:00,0.90738,9.9303
2022-06-25 10:00:00,2.24636,9.79573
2022-06-25 11:00:00,3.44507,9.50832
2022-06-25 12:00:00,3.4355,7.842
2022-06-25 13:00:00,3.17727,7.65261
2022-06-25 14:00:00,3.1964,8.53312
2022-06-25 15:00:00,3.80213,7.36354
2022-06-25 16:00:00,4.96258,6.76214
2022-06-25 17:00:00,2.55879,7.49811
2022-06-25 18:00:00,2.11406,9.32059
2022-06-25 19:00:00,1.82395,9.12289
2022-06-25 20:00:00,1.56731,8.45836
2022-06-25 21:00:00,1.61035,9.3289
2022-06-25 22:00:00,2.70544,10.41873
2022-06-25 23:00:00,0.89304,10.86064
2022-06-26 00:00:00,2.10609,11.31086
2022-06-26 01:00:00,3.39247,9.64621
2022-06-26 02:00:00,1.76816,12.16313
2022-06-26 03:00:00,2.65762,13.23801
2022-06-26 04:00:00,2.60342,11.98204
2022-06-26 05:00:00,1.76975,10.83905
2022-06-26 06:00:00,2.0232,11.04837
2022-06-26 07:00:00,3.26973,10.75432
2022-06-26 08:00:00,3.56303,10.18448
2022-06-26 09:00:00,3.93603,9.24084
2022-06-26 10:00:00,5.37224,9.54819
2022-06-26 11:00:00,4.16397,11.64147
2022-06-26 12:00:00,3.60447,12.1083
2022-06-26 13:00:00,3.78141,10.75266
2022-06-26 14:00:00,3.82923,10.70946
2022-06-26 15:00:00,4.51785,10.10141
2022-06-26 16:00:00,5.34036,9.4319
2022-06-26 17:00:00,4.44133,7.86194
2022-06-26 18:00:00,4.27396,6.91664
2022-06-26 19:00:00,3.82445,4.68215
2022-06-26 20:00:00,2.69588,6.44482
2022-06-26 21:00:00,2.86963,7.75894
2022-06-26 22:00:00,3.76069,7.31868
2022-06-26 23:00:00,2.78993,6.34514
2022-06-27 00:00:00,1.47326,7.87024
