model_fct,model_u,model_v
2022-06-22 00:00:00,-0.57347,4.38311
2022-06-22 01:00:00,-0.58622,4.37314
2022-06-22 02:00:00,-1.25252,4.72202
2022-06-22 03:00:00,-1.35613,5.84342
2022-06-22 04:00:00,-1.56654,6.13415
2022-06-22 05:00:00,-1.47568,5.94642
2022-06-22 06:00:00,-1.24296,4.85825
2022-06-22 07:00:00,-2.10532,4.0741
2022-06-22 08:00:00,-2.26473,3.03411
2022-06-22 09:00:00,-1.08037,2.78989
2022-06-22 10:00:00,-1.95548,2.23999
2022-06-22 11:00:00,-2.61382,2.36459
2022-06-22 12:00:00,-3.64037,3.172
2022-06-22 13:00:00,-1.13775,3.81992
2022-06-22 14:00:00,3.29204,3.28164
2022-06-22 15:00:00,3.37174,2.31143
2022-06-22 16:00:00,1.68208,3.44778
2022-06-22 17:00:00,1.93872,5.60917
2022-06-22 18:00:00,3.69852,6.44648
2022-06-22 19:00:00,3.70171,6.19728
2022-06-22 20:00:00,3.09279,7.14424
2022-06-22 21:00:00,3.48811,6.42821
2022-06-22 22:00:00,2.42808,6.75881
2022-06-22 23:00:00,1.44297,8.0397
2022-06-23 00:00:00,0.87869,9.36877
2022-06-23 01:00:00,0.61727,9.52493
2022-06-23 02:00:00,-0.42682,10.16787
2022-06-23 03:00:00,-1.22064,11.7561
2022-06-23 04:00:00,-1.1234,12.00198
2022-06-23 05:00:00,-0.28017,11.90894
2022-06-23 06:00:00,1.47486,12.93897
2022-06-23 07:00:00,0.79421,12.9805
2022-06-23 08:00:00,0.94883,14.2996
2022-06-23 09:00:00,1.07954,13.85935
2022-06-23 10:00:00,1.4637,13.78293
2022-06-23 11:00:00,2.0232,13.6467
2022-06-23 12:00:00,4.17673,13.05028
2022-06-23 13:00:00,4.55929,13.57526
2022-06-23 14:00:00,5.18574,13.28453
2022-06-23 15:00:00,4.18629,12.98383
2022-06-23 16:00:00,5.17459,12.88581
2022-06-23 17:00:00,5.21603,12.08006
2022-06-23 18:00:00,4.25643,11.7478
2022-06-23 19:00:00,5.51092,11.68466
2022-06-23 20:00:00,5.68946,10.65298
2022-06-23 21:00:00,5.91262,9.40033
2022-06-23 22:00:00,5.1188,9.62627
2022-06-23 23:00:00,4.44293,8.77235
2022-06-24 00:00:00,4.33453,9.44685
2022-06-24 01:00:00,5.58106,7.56622
2022-06-24 02:00:00,5.385,7.77721
2022-06-24 03:00:00,4.65653,8.01478
2022-06-24 04:00:00,4.87491,6.50463
2022-06-24 05:00:00,3.76547,6.3684
2022-06-24 06:00:00,3.01468,6.12751
2022-06-24 07:00:00,1.98335,6.53453
2022-06-24 08:00:00,1.73628,6.60763
2022-06-24 09:00:00,1.70758,6.287
2022-06-24 10:00:00,2.30853,5.94144
2022-06-24 11:00:00,2.51416,5.7886
2022-06-24 12:00:00,2.89991,5.71217
2022-06-24 13:00:00,3.55187,6.53453
2022-06-24 14:00:00,4.65175,6.81198
2022-06-24 15:00:00,4.81752,6.9698
2022-06-24 16:00:00,5.28457,6.3684
2022-06-24 17:00:00,4.60871,6.22054
2022-06-24 18:00:00,4.62465,5.7753
2022-06-24 19:00:00,4.80158,5.69224
2022-06-24 20:00:00,4.76492,6.75715
2022-06-24 21:00:00,5.52049,6.51128
2022-06-24 22:00:00,6.38445,5.3716
2022-06-24 23:00:00,6.98859,5.45134
2022-06-25 00:00:00,6.11187,6.6176
