corr_fct,corr_u,corr_v
2022-06-08 00:00:00,-1.778002,-3.494609
2022-06-08 01:00:00,-1.313695,-3.231233
2022-06-08 02:00:00,-1.080617,-3.398387
2022-06-08 03:00:00,-1.176069,-3.723086
2022-06-08 04:00:00,-1.353134,-3.662749
2022-06-08 05:00:00,-1.425243,-3.393728
2022-06-08 06:00:00,-1.328572,-3.099141
2022-06-08 07:00:00,-1.498058,-2.779763
2022-06-08 08:00:00,-1.811047,-2.309378
2022-06-08 09:00:00,-1.576819,-1.768176
2022-06-08 10:00:00,-1.875970,-1.705220
2022-06-08 11:00:00,-1.715941,-1.049307
2022-06-08 12:00:00,-1.562112,-0.591639
2022-06-08 13:00:00,-0.878774,-0.389294
2022-06-08 14:00:00,-0.666298,-0.121791
2022-06-08 15:00:00,-0.773953,0.335246
2022-06-08 16:00:00,-0.559978,0.219627
2022-06-08 17:00:00,-0.410940,0.143469
2022-06-08 18:00:00,-0.370052,0.095497
2022-06-08 19:00:00,-0.581656,0.408802
2022-06-08 20:00:00,-0.456129,0.849353
2022-06-08 21:00:00,-0.455959,1.180540
2022-06-08 22:00:00,-0.580443,1.297688
2022-06-08 23:00:00,-0.704092,1.544978
2022-06-09 00:00:00,-0.656978,1.383027
2022-06-09 01:00:00,-0.095938,1.683054
2022-06-09 02:00:00,-0.050835,1.871747
2022-06-09 03:00:00,-0.211876,2.069889
2022-06-09 04:00:00,-1.054977,2.612477
2022-06-09 05:00:00,-1.074678,2.480879
2022-06-09 06:00:00,-1.877238,2.030774
2022-06-09 07:00:00,-1.882310,2.654914
2022-06-09 08:00:00,-1.742011,3.010908
2022-06-09 09:00:00,-1.529673,2.677086
2022-06-09 10:00:00,-1.877949,2.856259
2022-06-09 11:00:00,-2.245977,3.245928
2022-06-09 12:00:00,-1.655709,3.363328
2022-06-09 13:00:00,-1.114495,3.254864
2022-06-09 14:00:00,-0.679766,3.278757
2022-06-09 15:00:00,-0.259533,2.865886
2022-06-09 16:00:00,-0.324141,2.408446
2022-06-09 17:00:00,-0.694620,2.335734
2022-06-09 18:00:00,-0.579156,2.607360
2022-06-09 19:00:00,-0.577888,2.391259
2022-06-09 20:00:00,-0.617278,2.494576
2022-06-09 21:00:00,-0.462274,2.147024
2022-06-09 22:00:00,-0.647635,2.095083
2022-06-09 23:00:00,-0.703491,2.208648
