corr_fct,corr_u,corr_v
2022-06-04 00:00:00,-2.031536,3.966421
2022-06-04 01:00:00,-1.780858,4.653484
2022-06-04 02:00:00,-1.946835,4.875740
2022-06-04 03:00:00,-2.097530,5.087998
2022-06-04 04:00:00,-2.105604,5.361191
2022-06-04 05:00:00,-1.982007,5.455995
2022-06-04 06:00:00,-2.279476,5.749360
2022-06-04 07:00:00,-2.113269,5.798550
2022-06-04 08:00:00,-2.399680,5.562900
2022-06-04 09:00:00,-3.485540,5.378746
2022-06-04 10:00:00,-3.966413,4.974967
2022-06-04 11:00:00,-4.340270,4.639626
2022-06-04 12:00:00,-4.203199,4.457387
2022-06-04 13:00:00,-4.510524,4.444685
2022-06-04 14:00:00,-4.230294,4.806520
2022-06-04 15:00:00,-4.241428,4.632396
2022-06-04 16:00:00,-4.541436,5.315892
2022-06-04 17:00:00,-4.572342,4.871722
2022-06-04 18:00:00,-4.705447,5.133217
2022-06-04 19:00:00,-4.048679,5.362871
2022-06-04 20:00:00,-4.421887,5.264946
2022-06-04 21:00:00,-5.102595,4.781051
2022-06-04 22:00:00,-5.250583,4.453827
2022-06-04 23:00:00,-5.153408,4.342426
2022-06-05 00:00:00,-5.274394,4.278294
2022-06-05 01:00:00,-5.516710,3.685855
2022-06-05 02:00:00,-5.948249,3.749520
2022-06-05 03:00:00,-6.050712,3.859321
2022-06-05 04:00:00,-6.342954,3.337118
2022-06-05 05:00:00,-6.268492,3.181627
2022-06-05 06:00:00,-6.486703,2.453798
2022-06-05 07:00:00,-6.483776,1.663137
2022-06-05 08:00:00,-6.825524,1.177148
2022-06-05 09:00:00,-7.685523,0.760849
2022-06-05 10:00:00,-8.652971,0.820558
2022-06-05 11:00:00,-9.146212,1.347883
2022-06-05 12:00:00,-9.359253,1.305844
2022-06-05 13:00:00,-9.187156,1.539756
2022-06-05 14:00:00,-8.573130,1.015521
2022-06-05 15:00:00,-8.482785,1.075235
2022-06-05 16:00:00,-8.414221,0.452670
2022-06-05 17:00:00,-8.527072,0.013521
2022-06-05 18:00:00,-8.171411,-0.406123
2022-06-05 19:00:00,-7.824601,-1.307156
2022-06-05 20:00:00,-7.701872,-2.033435
2022-06-05 21:00:00,-7.844003,-2.626595
2022-06-05 22:00:00,-7.918716,-3.307245
2022-06-05 23:00:00,-7.966795,-3.678578
