model_fct,model_u,model_v
2022-08-27 00:00:00,4.54813,-6.71293
2022-08-27 01:00:00,3.5981,-7.80443
2022-08-27 02:00:00,3.0641,-7.97887
2022-08-27 03:00:00,2.83615,-8.38091
2022-08-27 04:00:00,2.18101,-9.11854
2022-08-27 05:00:00,0.9297,-9.36276
2022-08-27 06:00:00,0.01632,-9.16506
2022-08-27 07:00:00,-0.92256,-7.4705
2022-08-27 08:00:00,-1.51713,-5.27256
2022-08-27 09:00:00,-1.40714,-3.85212
2022-08-27 10:00:00,-0.91778,-3.27231
2022-08-27 11:00:00,-0.33117,-2.98158
2022-08-27 12:00:00,0.10399,-2.1775
2022-08-27 13:00:00,1.54818,0.33278
2022-08-27 14:00:00,3.73518,1.0106
2022-08-27 15:00:00,3.81966,0.06198
2022-08-27 16:00:00,3.78141,-0.2138
2022-08-27 17:00:00,3.8117,-0.65738
2022-08-27 18:00:00,3.5981,-1.57942
2022-08-27 19:00:00,3.28885,-2.54963
2022-08-27 20:00:00,2.78514,-4.19435
2022-08-27 21:00:00,2.53488,-3.90362
2022-08-27 22:00:00,2.71979,-2.852
2022-08-27 23:00:00,2.46634,-3.62119
2022-08-28 00:00:00,2.4759,-4.05979
2022-08-28 01:00:00,2.24636,-3.84049
2022-08-28 02:00:00,1.86858,-3.44177
2022-08-28 03:00:00,1.65657,-2.77558
2022-08-28 04:00:00,1.17358,-2.23564
2022-08-28 05:00:00,1.06041,-1.32689
2022-08-28 06:00:00,0.88507,-0.28358
2022-08-28 07:00:00,0.46584,0.51054
2022-08-28 08:00:00,0.36701,0.5338
2022-08-28 09:00:00,-0.37262,0.65175
2022-08-28 10:00:00,-1.04849,1.47411
2022-08-28 11:00:00,-2.01606,2.92446
2022-08-28 12:00:00,-2.83698,3.84151
2022-08-28 13:00:00,-2.78597,4.37148
2022-08-28 14:00:00,-2.67598,4.43461
2022-08-28 15:00:00,-2.52774,4.26515
2022-08-28 16:00:00,-2.67598,4.68215
2022-08-28 17:00:00,-3.18767,4.19039
2022-08-28 18:00:00,-2.96928,4.43295
2022-08-28 19:00:00,-2.778,4.17544
2022-08-28 20:00:00,-2.62976,4.03921
2022-08-28 21:00:00,-2.59309,4.14055
2022-08-28 22:00:00,-3.89382,3.34976
2022-08-28 23:00:00,-3.92889,3.68701
2022-08-29 00:00:00,-2.89437,4.63729
2022-08-29 01:00:00,-2.50542,4.47448
2022-08-29 02:00:00,-2.80988,4.45787
2022-08-29 03:00:00,-2.51021,4.77352
2022-08-29 04:00:00,-2.17068,4.99116
2022-08-29 05:00:00,-2.44007,5.76534
2022-08-29 06:00:00,-2.10054,4.727
2022-08-29 07:00:00,-1.6048,3.87308
2022-08-29 08:00:00,-1.37367,4.94464
2022-08-29 09:00:00,-1.06761,5.23537
2022-08-29 10:00:00,-0.84445,4.93965
2022-08-29 11:00:00,-1.43264,5.26195
2022-08-29 12:00:00,-1.06602,5.12905
2022-08-29 13:00:00,-1.26049,5.26195
2022-08-29 14:00:00,-1.13137,4.77684
2022-08-29 15:00:00,0.01951,4.17544
2022-08-29 16:00:00,0.08487,3.44113
2022-08-29 17:00:00,0.64118,3.07896
2022-08-29 18:00:00,0.93289,2.54069
2022-08-29 19:00:00,0.75595,2.73008
2022-08-29 20:00:00,1.26923,0.92421
2022-08-29 21:00:00,1.39994,0.53878
2022-08-29 22:00:00,2.43605,-0.82517
2022-08-29 23:00:00,1.95625,-1.10926
2022-08-30 00:00:00,1.09707,-0.96638
