model_fct,model_u,model_v
2022-11-30 00:00:00,11.23347,-12.6605
2022-11-30 01:00:00,10.59905,-11.07227
2022-11-30 02:00:00,11.6798,-7.70973
2022-11-30 03:00:00,9.55656,-9.40263
2022-11-30 04:00:00,8.86475,-10.07547
2022-11-30 05:00:00,9.00184,-9.33618
2022-11-30 06:00:00,8.6384,-8.77797
2022-11-30 07:00:00,7.66923,-7.50705
2022-11-30 08:00:00,7.18624,-6.32252
2022-11-30 09:00:00,7.58953,-5.35563
2022-11-30 10:00:00,7.83501,-4.22592
2022-11-30 11:00:00,7.96253,-3.85046
2022-11-30 12:00:00,7.88921,-4.28074
2022-11-30 13:00:00,7.93065,-4.71767
2022-11-30 14:00:00,8.31003,-5.61645
2022-11-30 15:00:00,8.44871,-7.12827
2022-11-30 16:00:00,8.47262,-8.17158
2022-11-30 17:00:00,8.48856,-8.62679
2022-11-30 18:00:00,8.38973,-8.562
2022-11-30 19:00:00,8.28931,-8.1882
2022-11-30 20:00:00,8.68144,-7.98552
2022-11-30 21:00:00,9.08313,-7.94897
2022-11-30 22:00:00,9.21703,-8.20481
2022-11-30 23:00:00,9.37006,-8.29951
2022-12-01 00:00:00,9.24413,-7.97388
2022-12-01 01:00:00,9.11501,-7.3675
2022-12-01 02:00:00,8.76592,-6.09658
2022-12-01 03:00:00,8.42002,-6.10322
2022-12-01 04:00:00,7.5449,-6.4438
2022-12-01 05:00:00,7.00293,-6.30923
2022-12-01 06:00:00,7.93544,-4.3555
2022-12-01 07:00:00,7.7314,-1.56612
2022-12-01 08:00:00,8.43596,-1.90504
2022-12-01 09:00:00,9.19153,-1.812
2022-12-01 10:00:00,9.74784,-2.18414
2022-12-01 11:00:00,9.63307,-2.45494
2022-12-01 12:00:00,9.2776,-3.38528
2022-12-01 13:00:00,9.01778,-3.78068
2022-12-01 14:00:00,8.9843,-4.63959
2022-12-01 15:00:00,9.31746,-5.72444
2022-12-01 16:00:00,9.33499,-6.70629
2022-12-01 17:00:00,9.18674,-7.18641
2022-12-01 18:00:00,9.04966,-7.44226
2022-12-01 19:00:00,8.94924,-7.35421
2022-12-01 20:00:00,9.37643,-6.99204
2022-12-01 21:00:00,9.68567,-6.59996
2022-12-01 22:00:00,8.84881,-5.2061
2022-12-01 23:00:00,7.66126,-4.63793
2022-12-02 00:00:00,6.54385,-4.11793
2022-12-02 01:00:00,5.57947,-3.65276
2022-12-02 02:00:00,5.0646,-3.00816
2022-12-02 03:00:00,4.57045,-2.67756
2022-12-02 04:00:00,4.11456,-2.11104
2022-12-02 05:00:00,3.46739,-1.70069
2022-12-02 06:00:00,2.54285,-1.28204
2022-12-02 07:00:00,1.50514,-0.8152
2022-12-02 08:00:00,1.37284,-0.31348
2022-12-02 09:00:00,1.9961,0.91757
2022-12-02 10:00:00,2.09174,2.33468
2022-12-02 11:00:00,2.19854,2.85136
2022-12-02 12:00:00,2.67994,1.79807
2022-12-02 13:00:00,1.34574,0.85278
2022-12-02 14:00:00,1.52108,-0.30517
2022-12-02 15:00:00,3.49927,-1.78542
2022-12-02 16:00:00,4.59596,-1.09929
2022-12-02 17:00:00,5.71337,0.99067
2022-12-02 18:00:00,6.72079,1.29303
2022-12-02 19:00:00,7.29464,0.10684
2022-12-02 20:00:00,6.88497,-0.24204
2022-12-02 21:00:00,5.73409,0.14671
2022-12-02 22:00:00,7.79835,0.59693
2022-12-02 23:00:00,7.09379,0.36268
2022-12-03 00:00:00,4.59596,2.36459
