model_fct,model_u,model_v
2023-03-25 00:00:00,-5.79953,-2.08338
2023-03-25 01:00:00,-5.52029,-1.36684
2023-03-25 02:00:00,-5.31405,-0.60306
2023-03-25 03:00:00,-5.12518,-0.36016
2023-03-25 04:00:00,-4.48559,-0.30753
2023-03-25 05:00:00,-4.71733,-0.7515
2023-03-25 06:00:00,-4.12987,-0.73125
2023-03-25 07:00:00,-4.2805,-0.84865
2023-03-25 08:00:00,-5.20281,0.06491
2023-03-25 09:00:00,-5.51102,0.19985
2023-03-25 10:00:00,-5.04407,0.75042
2023-03-25 11:00:00,-4.23184,0.83678
2023-03-25 12:00:00,-5.27233,1.05944
2023-03-25 13:00:00,-5.1414,1.46967
2023-03-25 14:00:00,-4.38363,2.17407
2023-03-25 15:00:00,-3.5459,2.94729
2023-03-25 16:00:00,-3.66988,2.34005
2023-03-25 17:00:00,-3.90972,2.25774
2023-03-25 18:00:00,-3.28751,2.7071
2023-03-25 19:00:00,-2.45674,3.07549
2023-03-25 20:00:00,-2.5251,3.00262
2023-03-25 21:00:00,-2.05352,3.11058
2023-03-25 22:00:00,-1.53211,3.42634
2023-03-25 23:00:00,-0.77201,3.41285
2023-03-26 00:00:00,-0.21469,3.12542
2023-03-26 01:00:00,0.45619,2.66661
2023-03-26 02:00:00,1.19543,2.42641
2023-03-26 03:00:00,2.93113,2.16462
2023-03-26 04:00:00,3.60433,0.06896
2023-03-26 05:00:00,1.41442,-4.72017
2023-03-26 06:00:00,-0.86007,-5.69041
2023-03-26 07:00:00,-0.11504,-5.66073
2023-03-26 08:00:00,0.32062,-5.488
2023-03-26 09:00:00,0.74007,-5.40568
2023-03-26 10:00:00,1.23366,-5.12635
2023-03-26 11:00:00,2.34716,-4.28161
2023-03-26 12:00:00,3.23702,-4.33693
2023-03-26 13:00:00,3.54639,-4.36392
2023-03-26 14:00:00,3.57073,-4.57443
2023-03-26 15:00:00,3.52554,-4.59333
2023-03-26 16:00:00,3.54987,-5.41378
2023-03-26 17:00:00,3.31697,-6.10199
2023-03-26 18:00:00,2.56035,-6.15867
2023-03-26 19:00:00,1.63109,-5.70526
2023-03-26 20:00:00,0.57322,-5.50824
2023-03-26 21:00:00,-0.28073,-5.04808
2023-03-26 22:00:00,-0.91569,-4.47188
2023-03-26 23:00:00,-1.27372,-3.74993
2023-03-27 00:00:00,-0.82415,-2.82692
2023-03-27 01:00:00,-0.22743,-2.51385
2023-03-27 02:00:00,-0.1359,-2.44233
2023-03-27 03:00:00,-0.44527,-2.29794
2023-03-27 04:00:00,-0.47771,-2.02941
2023-03-27 05:00:00,-1.14627,-1.77167
2023-03-27 06:00:00,-2.7186,-0.95121
2023-03-27 07:00:00,-3.42887,0.3321
2023-03-27 08:00:00,-3.2852,1.08238
2023-03-27 09:00:00,-2.85185,1.65724
2023-03-27 10:00:00,-2.15548,2.77052
2023-03-27 11:00:00,-1.40002,4.13614
2023-03-27 12:00:00,-0.30159,4.89722
2023-03-27 13:00:00,0.77598,5.38707
2023-03-27 14:00:00,1.67628,5.67045
2023-03-27 15:00:00,2.62872,5.36143
2023-03-27 16:00:00,3.79087,4.12265
2023-03-27 17:00:00,4.16165,2.07151
2023-03-27 18:00:00,3.65531,-0.10917
2023-03-27 19:00:00,2.63567,-1.03488
2023-03-27 20:00:00,1.82575,-1.14418
2023-03-27 21:00:00,1.18268,-0.80547
2023-03-27 22:00:00,0.75745,-0.39794
2023-03-27 23:00:00,0.12596,-0.05519
2023-03-28 00:00:00,-0.27031,0.55475
