model_fct,model_u,model_v
2023-02-13 00:00:00,-6.94663,-7.3961
2023-02-13 01:00:00,-7.29308,-7.26655
2023-02-13 02:00:00,-6.95822,-7.79957
2023-02-13 03:00:00,-6.91535,-8.11939
2023-02-13 04:00:00,-6.6697,-8.06946
2023-02-13 05:00:00,-6.50401,-8.4608
2023-02-13 06:00:00,-6.24099,-8.8103
2023-02-13 07:00:00,-5.4809,-8.6821
2023-02-13 08:00:00,-5.38936,-7.81037
2023-02-13 09:00:00,-5.10664,-7.55803
2023-02-13 10:00:00,-4.23184,-7.45547
2023-02-13 11:00:00,-4.15421,-7.36776
2023-02-13 12:00:00,-4.11134,-6.75107
2023-02-13 13:00:00,-4.21562,-6.33274
2023-02-13 14:00:00,-4.19476,-6.11548
2023-02-13 15:00:00,-4.13103,-5.77813
2023-02-13 16:00:00,-3.70116,-6.10469
2023-02-13 17:00:00,-2.71976,-6.01968
2023-02-13 18:00:00,-2.10682,-5.91982
2023-02-13 19:00:00,-0.81373,-5.45561
2023-02-13 20:00:00,0.67981,-5.43267
2023-02-13 21:00:00,1.24525,-5.30852
2023-02-13 22:00:00,1.79794,-5.07507
2023-02-13 23:00:00,2.63451,-5.69041
2023-02-14 00:00:00,3.22776,-6.4353
2023-02-14 01:00:00,2.66232,-7.74964
2023-02-14 02:00:00,1.97406,-8.6929
2023-02-14 03:00:00,1.86167,-8.925
2023-02-14 04:00:00,-1.78818,-10.55646
2023-02-14 05:00:00,-3.39759,-9.08963
2023-02-14 06:00:00,-3.81471,-9.5201
2023-02-14 07:00:00,-2.33624,-9.82642
2023-02-14 08:00:00,-2.58651,-9.74006
2023-02-14 09:00:00,-3.48912,-9.5255
2023-02-14 10:00:00,-3.57255,-9.0532
2023-02-14 11:00:00,-3.92595,-8.84268
2023-02-14 12:00:00,-4.3535,-8.39737
2023-02-14 13:00:00,-4.1797,-8.11534
2023-02-14 14:00:00,-3.1392,-8.3218
2023-02-14 15:00:00,-3.00016,-8.00334
2023-02-14 16:00:00,-2.64908,-7.88189
2023-02-14 17:00:00,-2.60853,-7.87109
2023-02-14 18:00:00,-2.74757,-7.7375
2023-02-14 19:00:00,-2.64792,-7.69162
2023-02-14 20:00:00,-2.75684,-7.35966
2023-02-14 21:00:00,-2.79391,-7.20178
2023-02-14 22:00:00,-3.01175,-7.10732
2023-02-14 23:00:00,-3.55053,-7.16264
2023-02-15 00:00:00,-3.77068,-7.25305
2023-02-15 01:00:00,-3.66293,-7.27734
2023-02-15 02:00:00,-3.21799,-6.88871
2023-02-15 03:00:00,-2.84837,-6.69169
2023-02-15 04:00:00,-2.5587,-6.59183
2023-02-15 05:00:00,-2.26208,-6.48118
2023-02-15 06:00:00,-2.14158,-6.438
2023-02-15 07:00:00,-2.40344,-5.98594
2023-02-15 08:00:00,-2.38606,-5.42862
2023-02-15 09:00:00,-2.16243,-5.12095
2023-02-15 10:00:00,-2.18908,-4.74851
2023-02-15 11:00:00,-1.97704,-4.1723
2023-02-15 12:00:00,-1.67926,-3.65817
2023-02-15 13:00:00,-1.85191,-3.13459
2023-02-15 14:00:00,-2.03845,-2.49361
2023-02-15 15:00:00,-1.91216,-1.8
2023-02-15 16:00:00,-1.48229,-1.02543
2023-02-15 17:00:00,-1.05705,-0.28729
2023-02-15 18:00:00,-0.60864,0.20795
2023-02-15 19:00:00,-0.60516,0.83544
2023-02-15 20:00:00,-0.64224,1.91363
2023-02-15 21:00:00,-0.31665,2.79616
2023-02-15 22:00:00,0.38319,3.30085
2023-02-15 23:00:00,0.66012,4.24815
2023-02-16 00:00:00,0.99382,5.5409
