model_fct,model_u,model_v
2022-09-11 00:00:00,-3.37735,-1.77711
2022-09-11 01:00:00,-3.60371,-2.15756
2022-09-11 02:00:00,-3.1526,-2.7274
2022-09-11 03:00:00,-3.05217,-2.97161
2022-09-11 04:00:00,-2.66164,-3.33378
2022-09-11 05:00:00,-2.32052,-4.11295
2022-09-11 06:00:00,-2.53252,-4.35218
2022-09-11 07:00:00,-2.6186,-3.91691
2022-09-11 08:00:00,-3.00276,-3.66439
2022-09-11 09:00:00,-3.00435,-2.92011
2022-09-11 10:00:00,-3.27215,-3.05966
2022-09-11 11:00:00,-3.29287,-2.56292
2022-09-11 12:00:00,-2.57078,-2.03961
2022-09-11 13:00:00,-1.66856,-1.36012
2022-09-11 14:00:00,-1.05964,-2.10772
2022-09-11 15:00:00,-1.01979,-2.44995
2022-09-11 16:00:00,-1.1792,-2.30874
2022-09-11 17:00:00,-0.30567,-2.81877
2022-09-11 18:00:00,-0.2977,-3.29557
2022-09-11 19:00:00,-0.5639,-3.37698
2022-09-11 20:00:00,-0.99588,-3.24906
2022-09-11 21:00:00,-1.8168,-3.0364
2022-09-11 22:00:00,-1.71798,-2.26388
2022-09-11 23:00:00,-1.82637,-1.57942
2022-09-12 00:00:00,-1.18079,-1.88842
2022-09-12 01:00:00,-1.00066,-1.82695
2022-09-12 02:00:00,-1.15369,-1.9582
2022-09-12 03:00:00,-1.35135,-1.59105
2022-09-12 04:00:00,-1.22542,-1.63258
2022-09-12 05:00:00,-1.34338,-1.70568
2022-09-12 06:00:00,-1.27643,-1.72063
2022-09-12 07:00:00,-1.51872,-2.09609
2022-09-12 08:00:00,-1.05486,-2.01801
2022-09-12 09:00:00,-1.7371,-1.67411
2022-09-12 10:00:00,-2.00649,-1.02287
2022-09-12 11:00:00,-2.04634,-0.69725
2022-09-12 12:00:00,-2.23125,-1.18236
2022-09-12 13:00:00,-2.04953,-1.48306
2022-09-12 14:00:00,-1.74507,-1.96651
2022-09-12 15:00:00,-2.0591,-1.35347
2022-09-12 16:00:00,-2.03678,-0.6391
2022-09-12 17:00:00,-2.11808,-0.26364
2022-09-12 18:00:00,-2.20096,-1.36012
2022-09-12 19:00:00,-2.23922,-2.0529
2022-09-12 20:00:00,-2.30617,-2.88356
2022-09-12 21:00:00,-2.07663,-3.74081
2022-09-12 22:00:00,-2.98682,-3.77902
2022-09-12 23:00:00,-2.58194,-3.82554
2022-09-13 00:00:00,-2.66801,-4.06477
2022-09-13 01:00:00,-2.86248,-4.54157
2022-09-13 02:00:00,-2.79554,-4.14618
2022-09-13 03:00:00,-2.76525,-4.55985
2022-09-13 04:00:00,-2.46398,-5.25096
2022-09-13 05:00:00,-2.72221,-5.93543
2022-09-13 06:00:00,-2.75568,-6.03179
2022-09-13 07:00:00,-2.86089,-5.97862
2022-09-13 08:00:00,-2.41297,-5.8424
2022-09-13 09:00:00,-2.16111,-5.59652
2022-09-13 10:00:00,-2.19299,-5.74438
2022-09-13 11:00:00,-2.3508,-5.89057
2022-09-13 12:00:00,-2.68714,-5.6231
2022-09-13 13:00:00,-2.74772,-5.34233
2022-09-13 14:00:00,-2.63454,-5.76597
2022-09-13 15:00:00,-2.61063,-5.52342
2022-09-13 16:00:00,-2.91828,-5.90553
2022-09-13 17:00:00,-3.24186,-6.1514
2022-09-13 18:00:00,-3.38054,-6.12981
2022-09-13 19:00:00,-3.42199,-6.35575
2022-09-13 20:00:00,-3.9783,-6.75447
2022-09-13 21:00:00,-3.64674,-7.63996
2022-09-13 22:00:00,-3.86353,-7.70641
2022-09-13 23:00:00,-4.44535,-7.64162
2022-09-14 00:00:00,-4.58563,-7.6898
