model_fct,model_u,model_v
2023-05-20 00:00:00,0.40057,0.93394
2023-05-20 01:00:00,-0.49857,1.59786
2023-05-20 02:00:00,-1.39075,3.24012
2023-05-20 03:00:00,-1.4707,5.37357
2023-05-20 04:00:00,-1.82178,6.07663
2023-05-20 05:00:00,-1.47186,6.611
2023-05-20 06:00:00,-2.67457,6.96455
2023-05-20 07:00:00,-3.70927,7.69729
2023-05-20 08:00:00,-2.94223,8.40304
2023-05-20 09:00:00,-0.8705,8.06299
2023-05-20 10:00:00,-1.82757,9.12364
2023-05-20 11:00:00,-1.56571,9.80106
2023-05-20 12:00:00,0.23256,10.2855
2023-05-20 13:00:00,2.59627,9.98188
2023-05-20 14:00:00,1.74696,9.18167
2023-05-20 15:00:00,1.01931,7.69594
2023-05-20 16:00:00,2.05749,6.45177
2023-05-20 17:00:00,2.24519,5.48288
2023-05-20 18:00:00,1.97406,3.92563
2023-05-20 19:00:00,1.8663,0.43061
2023-05-20 20:00:00,2.61018,-1.01598
2023-05-20 21:00:00,3.61707,-4.03736
2023-05-20 22:00:00,1.60444,-3.86733
2023-05-20 23:00:00,2.7863,-0.64489
2023-05-21 00:00:00,2.47345,2.42237
2023-05-21 01:00:00,2.4526,0.7963
2023-05-21 02:00:00,2.10383,-1.97138
2023-05-21 03:00:00,3.10609,0.89751
2023-05-21 04:00:00,2.01693,3.85006
2023-05-21 05:00:00,0.26385,3.48032
2023-05-21 06:00:00,-0.81373,4.05923
2023-05-21 07:00:00,-0.8033,4.36015
2023-05-21 08:00:00,-0.74884,4.44381
2023-05-21 09:00:00,-0.3769,4.77308
2023-05-21 10:00:00,0.24994,4.2441
2023-05-21 11:00:00,1.98333,2.43181
2023-05-21 12:00:00,4.61006,-0.40334
2023-05-21 13:00:00,5.55207,-2.82557
2023-05-21 14:00:00,3.01224,-5.34091
2023-05-21 15:00:00,0.33684,-4.75796
2023-05-21 16:00:00,-0.08144,-4.43679
2023-05-21 17:00:00,0.5848,-4.61492
2023-05-21 18:00:00,2.70982,-3.5826
2023-05-21 19:00:00,5.18477,-4.51641
2023-05-21 20:00:00,4.45828,-6.00483
2023-05-21 21:00:00,3.07017,-6.91435
2023-05-21 22:00:00,1.90338,-7.46761
2023-05-21 23:00:00,1.54767,-7.47706
2023-05-22 00:00:00,1.4793,-6.57294
2023-05-22 01:00:00,0.90228,-6.01023
2023-05-22 02:00:00,0.06803,-4.7701
2023-05-22 03:00:00,-2.17865,-4.14531
2023-05-22 04:00:00,-4.13683,-3.02799
2023-05-22 05:00:00,-3.65482,-1.94574
2023-05-22 06:00:00,-3.65018,-1.33445
2023-05-22 07:00:00,-3.49028,-0.71776
2023-05-22 08:00:00,-2.43472,0.05142
2023-05-22 09:00:00,-1.59468,0.02578
2023-05-22 10:00:00,-0.82879,-0.43033
2023-05-22 11:00:00,0.27775,-1.18061
2023-05-22 12:00:00,0.93588,-1.87287
2023-05-22 13:00:00,1.20122,-1.65831
2023-05-22 14:00:00,1.20354,-1.09425
2023-05-22 15:00:00,0.85477,-0.12671
2023-05-22 16:00:00,0.44576,0.63977
2023-05-22 17:00:00,-0.12084,0.85298
2023-05-22 18:00:00,-0.38733,1.16335
2023-05-22 19:00:00,-0.03393,2.01079
2023-05-22 20:00:00,0.6184,2.3414
2023-05-22 21:00:00,0.64158,2.48174
2023-05-22 22:00:00,0.12596,2.83529
2023-05-22 23:00:00,-0.57272,3.47087
2023-05-23 00:00:00,-0.95509,3.54644
