model_fct,model_u,model_v
2022-11-04 00:00:00,5.65279,-6.38897
2022-11-04 01:00:00,6.38286,-6.36073
2022-11-04 02:00:00,7.64214,-5.74272
2022-11-04 03:00:00,8.691,-5.82412
2022-11-04 04:00:00,10.89394,-6.39728
2022-11-04 05:00:00,9.73987,-7.41734
2022-11-04 06:00:00,2.96208,-9.99074
2022-11-04 07:00:00,-0.83967,-9.72825
2022-11-04 08:00:00,-0.98632,-11.29489
2022-11-04 09:00:00,-2.25516,-8.81784
2022-11-04 10:00:00,-2.14358,-6.67638
2022-11-04 11:00:00,-2.5915,-5.22936
2022-11-04 12:00:00,-2.77163,-4.27908
2022-11-04 13:00:00,-1.33541,-3.68266
2022-11-04 14:00:00,-1.05327,-3.5265
2022-11-04 15:00:00,-0.78706,-1.89507
2022-11-04 16:00:00,2.2097,-4.68777
2022-11-04 17:00:00,0.51844,-4.88381
2022-11-04 18:00:00,1.62948,-4.82732
2022-11-04 19:00:00,2.58589,-4.74425
2022-11-04 20:00:00,3.11829,-4.71767
2022-11-04 21:00:00,3.26813,-4.1495
2022-11-04 22:00:00,3.2761,-3.25736
2022-11-04 23:00:00,3.39884,-2.37519
2022-11-05 00:00:00,3.52318,-1.73392
2022-11-05 01:00:00,3.76706,-1.28038
2022-11-05 02:00:00,3.90096,-0.9614
2022-11-05 03:00:00,3.98704,-0.7637
2022-11-05 04:00:00,4.03645,-0.86338
2022-11-05 05:00:00,3.97907,-1.13418
2022-11-05 06:00:00,3.80532,-1.63424
2022-11-05 07:00:00,3.53433,-1.812
2022-11-05 08:00:00,3.76387,-1.67743
2022-11-05 09:00:00,4.32816,-1.55782
2022-11-05 10:00:00,4.68681,-0.65904
2022-11-05 11:00:00,4.90201,0.12677
2022-11-05 12:00:00,5.65439,-0.37329
2022-11-05 13:00:00,5.28617,-1.69737
2022-11-05 14:00:00,4.70594,-2.48318
2022-11-05 15:00:00,4.17673,-2.29877
2022-11-05 16:00:00,4.33453,-2.08778
2022-11-05 17:00:00,4.81752,-2.09111
2022-11-05 18:00:00,4.68522,-2.18414
2022-11-05 19:00:00,4.08587,-2.21571
2022-11-05 20:00:00,3.55824,-2.10772
2022-11-05 21:00:00,3.0099,-1.97647
2022-11-05 22:00:00,2.87281,-1.75386
2022-11-05 23:00:00,2.75486,-1.50133
2022-11-06 00:00:00,2.40895,-1.23552
2022-11-06 01:00:00,2.36273,-0.91488
2022-11-06 02:00:00,2.67994,-0.77035
2022-11-06 03:00:00,2.78833,-1.07769
2022-11-06 04:00:00,2.28621,-1.2621
2022-11-06 05:00:00,2.06464,-1.81366
2022-11-06 06:00:00,1.60078,-1.92996
2022-11-06 07:00:00,0.7703,-1.29865
2022-11-06 08:00:00,0.155,-0.73712
2022-11-06 09:00:00,-0.53362,-0.02607
2022-11-06 10:00:00,-0.97197,0.44076
2022-11-06 11:00:00,-0.75997,0.61853
2022-11-06 12:00:00,-0.51927,0.89597
2022-11-06 13:00:00,-0.08888,1.16012
2022-11-06 14:00:00,0.1837,1.5306
2022-11-06 15:00:00,0.80536,2.44932
2022-11-06 16:00:00,1.35052,2.549
2022-11-06 17:00:00,1.6231,2.25826
2022-11-06 18:00:00,2.23361,1.49737
2022-11-06 19:00:00,2.91426,0.9076
2022-11-06 20:00:00,3.21075,0.30786
2022-11-06 21:00:00,2.92223,0.0055
2022-11-06 22:00:00,3.05613,-0.00281
2022-11-06 23:00:00,2.72298,0.1816
2022-11-07 00:00:00,3.16293,0.37597
