model_fct,model_u,model_v
2022-12-23 00:00:00,16.37739,-2.51641
2022-12-23 01:00:00,14.91407,-4.89045
2022-12-23 02:00:00,14.17126,-6.01351
2022-12-23 03:00:00,14.25096,-6.43881
2022-12-23 04:00:00,12.84344,-6.14476
2022-12-23 05:00:00,12.54057,-5.68457
2022-12-23 06:00:00,12.46087,-6.06668
2022-12-23 07:00:00,12.99487,-6.17798
2022-12-23 08:00:00,12.72707,-6.65977
2022-12-23 09:00:00,12.67128,-6.20457
2022-12-23 10:00:00,12.24886,-6.53351
2022-12-23 11:00:00,12.69679,-6.25939
2022-12-23 12:00:00,11.84398,-6.96878
2022-12-23 13:00:00,11.11711,-7.90411
2022-12-23 14:00:00,9.98854,-8.4673
2022-12-23 15:00:00,10.58789,-8.41414
2022-12-23 16:00:00,10.80468,-8.42577
2022-12-23 17:00:00,10.72338,-8.09184
2022-12-23 18:00:00,9.6777,-10.43598
2022-12-23 19:00:00,7.04438,-11.20186
2022-12-23 20:00:00,5.63845,-10.73834
2022-12-23 21:00:00,2.78036,-11.63712
2022-12-23 22:00:00,1.73946,-12.79341
2022-12-23 23:00:00,1.63745,-12.52428
2022-12-24 00:00:00,1.81757,-12.48274
2022-12-24 01:00:00,1.39197,-12.68376
2022-12-24 02:00:00,0.59017,-13.19379
2022-12-24 03:00:00,0.10399,-12.44619
2022-12-24 04:00:00,1.58325,-13.06089
2022-12-24 05:00:00,3.22669,-9.99074
2022-12-24 06:00:00,2.48706,-9.19663
2022-12-24 07:00:00,1.49398,-8.77963
2022-12-24 08:00:00,1.21184,-7.58347
2022-12-24 09:00:00,2.06783,-6.71127
2022-12-24 10:00:00,3.25538,-5.66629
2022-12-24 11:00:00,3.2761,-5.42042
2022-12-24 12:00:00,2.64009,-4.62298
2022-12-24 13:00:00,2.66559,-3.64611
2022-12-24 14:00:00,2.98758,-2.50146
2022-12-24 15:00:00,3.68098,-1.95986
2022-12-24 16:00:00,4.04761,-1.32191
2022-12-24 17:00:00,3.80054,-1.20894
2022-12-24 18:00:00,3.64432,-1.44485
2022-12-24 19:00:00,3.49927,-1.61264
2022-12-24 20:00:00,3.944,-1.98478
2022-12-24 21:00:00,4.98012,-1.9881
2022-12-24 22:00:00,6.08637,-1.6658
2022-12-24 23:00:00,6.40517,-1.81366
2022-12-25 00:00:00,6.53588,-3.09289
2022-12-25 01:00:00,6.6379,-4.68445
2022-12-25 02:00:00,6.92801,-6.7146
2022-12-25 03:00:00,7.12727,-8.41912
2022-12-25 04:00:00,5.1714,-10.53566
2022-12-25 05:00:00,3.02584,-7.91408
2022-12-25 06:00:00,-2.59469,-8.69158
2022-12-25 07:00:00,-2.54527,-6.04342
2022-12-25 08:00:00,-0.89227,-6.5252
2022-12-25 09:00:00,1.12417,-5.11141
2022-12-25 10:00:00,1.50674,-7.34092
2022-12-25 11:00:00,0.85,-6.3408
2022-12-25 12:00:00,2.46474,-6.79932
2022-12-25 13:00:00,3.11192,-6.69466
2022-12-25 14:00:00,2.77558,-6.96546
2022-12-25 15:00:00,1.6486,-7.04354
2022-12-25 16:00:00,1.63904,-6.32086
2022-12-25 17:00:00,1.63426,-5.93377
2022-12-25 18:00:00,1.70758,-6.7744
2022-12-25 19:00:00,-1.69885,-6.69798
2022-12-25 20:00:00,-1.77536,-5.3008
2022-12-25 21:00:00,-0.82373,-4.60636
2022-12-25 22:00:00,-0.72968,-4.19435
2022-12-25 23:00:00,-1.04689,-4.24253
2022-12-26 00:00:00,-0.81895,-3.65276
