model_fct,model_u,model_v
2023-03-21 00:00:00,-1.86118,-0.88509
2023-03-21 01:00:00,-1.92143,-0.05384
2023-03-21 02:00:00,-2.4718,1.10937
2023-03-21 03:00:00,-2.4718,1.51285
2023-03-21 04:00:00,-2.30727,1.94062
2023-03-21 05:00:00,-2.50309,1.9784
2023-03-21 06:00:00,-2.74873,1.49801
2023-03-21 07:00:00,-3.05925,1.6208
2023-03-21 08:00:00,-3.67335,2.08636
2023-03-21 09:00:00,-3.7058,2.85958
2023-03-21 10:00:00,-3.74635,3.84871
2023-03-21 11:00:00,-3.68031,4.8419
2023-03-21 12:00:00,-2.47064,5.00248
2023-03-21 13:00:00,-1.56224,5.26292
2023-03-21 14:00:00,-1.63407,5.11853
2023-03-21 15:00:00,-1.40929,4.94715
2023-03-21 16:00:00,-1.09529,4.67457
2023-03-21 17:00:00,-1.70012,5.39381
2023-03-21 18:00:00,-2.1717,6.0186
2023-03-21 19:00:00,-2.08248,5.78785
2023-03-21 20:00:00,-1.61785,5.36682
2023-03-21 21:00:00,-1.76385,5.04161
2023-03-21 22:00:00,-1.6978,4.91207
2023-03-21 23:00:00,-1.63871,4.9593
2023-03-22 00:00:00,-1.49735,5.10369
2023-03-22 01:00:00,-2.14042,5.10234
2023-03-22 02:00:00,-2.60621,4.7029
2023-03-22 03:00:00,-2.67805,4.93906
2023-03-22 04:00:00,-2.15432,5.186
2023-03-22 05:00:00,-2.04656,5.3088
2023-03-22 06:00:00,-2.11608,5.912
2023-03-22 07:00:00,-4.47169,6.58401
2023-03-22 08:00:00,-5.62573,6.72165
2023-03-22 09:00:00,-4.69531,6.59751
2023-03-22 10:00:00,-4.02791,7.08195
2023-03-22 11:00:00,-2.685,6.90383
2023-03-22 12:00:00,-1.04546,6.1387
2023-03-22 13:00:00,-0.72567,6.89033
2023-03-22 14:00:00,-1.58773,7.34239
2023-03-22 15:00:00,-0.82184,6.00511
2023-03-22 16:00:00,-0.10461,5.72308
2023-03-22 17:00:00,1.37386,4.3561
2023-03-22 18:00:00,1.99028,4.8311
2023-03-22 19:00:00,2.32514,4.599
2023-03-22 20:00:00,2.31008,3.12947
2023-03-22 21:00:00,1.92771,1.58032
2023-03-22 22:00:00,0.84551,1.05134
2023-03-22 23:00:00,0.16768,0.97443
2023-03-23 00:00:00,0.55584,-0.33857
2023-03-23 01:00:00,1.44223,-2.34113
2023-03-23 02:00:00,2.01346,-3.3532
2023-03-23 03:00:00,3.75148,-4.67024
2023-03-23 04:00:00,4.12921,-5.56762
2023-03-23 05:00:00,4.71898,-6.16676
2023-03-23 06:00:00,4.03188,-7.43523
2023-03-23 07:00:00,1.7458,-8.47834
2023-03-23 08:00:00,0.11901,-9.32308
2023-03-23 09:00:00,0.15261,-8.46349
2023-03-23 10:00:00,1.63573,-8.36499
2023-03-23 11:00:00,3.24166,-8.99382
2023-03-23 12:00:00,3.90906,-9.17195
2023-03-23 13:00:00,3.77929,-8.89261
2023-03-23 14:00:00,2.9265,-8.9196
2023-03-23 15:00:00,2.30081,-9.13551
2023-03-23 16:00:00,0.84666,-8.34474
2023-03-23 17:00:00,0.72964,-8.49993
2023-03-23 18:00:00,-0.21353,-7.82386
2023-03-23 19:00:00,-0.95856,-7.8603
2023-03-23 20:00:00,-3.72665,-8.29077
2023-03-23 21:00:00,-6.23056,-8.31236
2023-03-23 22:00:00,-6.5492,-7.5135
2023-03-23 23:00:00,-7.21197,-7.15859
2023-03-24 00:00:00,-6.723,-6.76861
